id_vuelo,id_trabajador,rol
93,41,Piloto
52,48,Tripulante de Cabina
61,53,Paramedico
71,31,Piloto
9,28,Tripulante de Cabina
25,24,Copiloto
99,49,Paramedico
47,17,Copiloto
26,52,Paramedico
1,7,Piloto
24,20,Paramedico
52,23,Piloto
129,59,Copiloto
115,56,Tripulante de Cabina
14,23,Piloto
125,25,Copiloto
89,17,Copiloto
127,12,Tripulante de Cabina
23,31,Piloto
10,16,Tripulante de Cabina
57,59,Copiloto
98,4,Tripulante de Cabina
19,42,Tripulante de Cabina
17,27,Paramedico
37,31,Copiloto
74,38,Copiloto
61,12,Tripulante de Cabina
139,49,Paramedico
85,50,Paramedico
85,31,Piloto
113,37,Piloto
39,40,Paramedico
26,31,Copiloto
50,41,Piloto
58,24,Piloto
91,53,Paramedico
17,58,Tripulante de Cabina
66,59,Piloto
133,7,Copiloto
38,51,Tripulante de Cabina
54,7,Copiloto
56,53,Paramedico
9,48,Tripulante de Cabina
32,4,Tripulante de Cabina
132,11,Tripulante de Cabina
93,35,Paramedico
73,22,Tripulante de Cabina
138,25,Copiloto
28,52,Paramedico
38,56,Tripulante de Cabina
59,27,Paramedico
105,31,Piloto
25,40,Paramedico
0,10,Copiloto
63,13,Tripulante de Cabina
46,15,Piloto
65,9,Copiloto
27,9,Piloto
130,42,Tripulante de Cabina
73,34,Piloto
97,23,Piloto
51,42,Tripulante de Cabina
139,13,Tripulante de Cabina
136,5,Tripulante de Cabina
36,35,Paramedico
69,31,Copiloto
31,33,Tripulante de Cabina
143,18,Tripulante de Cabina
6,30,Paramedico
11,54,Copiloto
53,59,Piloto
32,37,Piloto
49,0,Copiloto
1,43,Paramedico
30,34,Copiloto
5,5,Tripulante de Cabina
143,24,Piloto
49,54,Piloto
61,7,Copiloto
2,37,Copiloto
28,21,Piloto
78,0,Copiloto
87,7,Piloto
71,39,Tripulante de Cabina
101,48,Tripulante de Cabina
114,41,Copiloto
38,13,Tripulante de Cabina
72,0,Copiloto
115,51,Tripulante de Cabina
13,5,Tripulante de Cabina
14,31,Copiloto
104,35,Paramedico
1,56,Tripulante de Cabina
52,28,Tripulante de Cabina
68,37,Copiloto
105,37,Copiloto
136,52,Paramedico
48,23,Copiloto
54,51,Tripulante de Cabina
94,37,Piloto
131,56,Tripulante de Cabina
46,0,Copiloto
60,8,Copiloto
47,34,Piloto
65,59,Piloto
134,32,Paramedico
115,54,Copiloto
41,52,Paramedico
112,30,Paramedico
24,15,Piloto
1,33,Tripulante de Cabina
146,13,Tripulante de Cabina
20,13,Tripulante de Cabina
12,10,Copiloto
83,54,Piloto
34,1,Tripulante de Cabina
87,43,Paramedico
138,5,Tripulante de Cabina
8,49,Paramedico
133,46,Tripulante de Cabina
88,28,Tripulante de Cabina
29,58,Tripulante de Cabina
20,41,Piloto
37,50,Paramedico
48,45,Paramedico
47,47,Paramedico
141,2,Tripulante de Cabina
4,59,Copiloto
148,18,Tripulante de Cabina
97,48,Tripulante de Cabina
42,34,Piloto
34,49,Paramedico
8,25,Copiloto
135,19,Tripulante de Cabina
129,4,Tripulante de Cabina
103,7,Piloto
81,53,Paramedico
97,51,Tripulante de Cabina
109,56,Tripulante de Cabina
5,50,Paramedico
113,54,Copiloto
139,22,Tripulante de Cabina
75,27,Paramedico
134,28,Tripulante de Cabina
109,22,Tripulante de Cabina
2,59,Piloto
55,18,Tripulante de Cabina
76,47,Paramedico
52,45,Paramedico
57,51,Tripulante de Cabina
45,2,Tripulante de Cabina
9,4,Tripulante de Cabina
142,8,Copiloto
70,58,Tripulante de Cabina
74,22,Tripulante de Cabina
138,46,Tripulante de Cabina
41,17,Piloto
11,11,Tripulante de Cabina
39,51,Tripulante de Cabina
122,40,Paramedico
137,46,Tripulante de Cabina
87,58,Tripulante de Cabina
96,2,Tripulante de Cabina
92,45,Paramedico
7,37,Piloto
121,38,Piloto
115,42,Tripulante de Cabina
17,31,Copiloto
82,40,Paramedico
118,17,Piloto
16,31,Copiloto
2,4,Tripulante de Cabina
140,21,Piloto
6,34,Piloto
64,8,Copiloto
108,22,Tripulante de Cabina
128,58,Tripulante de Cabina
135,30,Paramedico
36,56,Tripulante de Cabina
23,0,Copiloto
36,17,Piloto
14,51,Tripulante de Cabina
119,8,Piloto
6,8,Copiloto
106,39,Tripulante de Cabina
59,0,Piloto
51,7,Copiloto
80,58,Tripulante de Cabina
2,2,Tripulante de Cabina
22,40,Paramedico
68,50,Paramedico
19,5,Tripulante de Cabina
140,56,Tripulante de Cabina
7,20,Paramedico
82,37,Piloto
136,56,Tripulante de Cabina
104,41,Copiloto
29,14,Tripulante de Cabina
64,14,Tripulante de Cabina
79,37,Copiloto
119,58,Tripulante de Cabina
84,16,Tripulante de Cabina
130,22,Tripulante de Cabina
121,19,Tripulante de Cabina
30,41,Piloto
119,43,Paramedico
116,0,Copiloto
41,16,Tripulante de Cabina
27,56,Tripulante de Cabina
28,46,Tripulante de Cabina
113,20,Paramedico
46,35,Paramedico
45,49,Paramedico
96,26,Tripulante de Cabina
125,19,Tripulante de Cabina
51,52,Paramedico
10,31,Piloto
118,45,Paramedico
25,41,Piloto
80,12,Tripulante de Cabina
22,51,Tripulante de Cabina
68,2,Tripulante de Cabina
48,4,Tripulante de Cabina
35,37,Piloto
21,1,Tripulante de Cabina
138,51,Tripulante de Cabina
6,1,Tripulante de Cabina
60,42,Tripulante de Cabina
145,32,Paramedico
81,18,Tripulante de Cabina
110,23,Copiloto
18,51,Tripulante de Cabina
40,0,Copiloto
40,7,Piloto
43,46,Tripulante de Cabina
64,38,Piloto
148,32,Paramedico
18,31,Copiloto
122,23,Piloto
115,4,Tripulante de Cabina
26,28,Tripulante de Cabina
67,28,Tripulante de Cabina
50,5,Tripulante de Cabina
99,58,Tripulante de Cabina
57,31,Piloto
53,52,Paramedico
134,11,Tripulante de Cabina
9,12,Tripulante de Cabina
20,20,Paramedico
48,51,Tripulante de Cabina
83,11,Tripulante de Cabina
101,54,Piloto
96,40,Paramedico
34,19,Tripulante de Cabina
15,37,Piloto
48,12,Tripulante de Cabina
24,42,Tripulante de Cabina
23,40,Paramedico
31,35,Paramedico
120,17,Copiloto
49,22,Tripulante de Cabina
82,26,Tripulante de Cabina
138,4,Tripulante de Cabina
74,14,Tripulante de Cabina
69,19,Tripulante de Cabina
95,24,Copiloto
72,13,Tripulante de Cabina
67,37,Copiloto
107,30,Paramedico
34,46,Tripulante de Cabina
75,0,Copiloto
146,32,Paramedico
138,22,Tripulante de Cabina
3,13,Tripulante de Cabina
117,45,Paramedico
128,18,Tripulante de Cabina
130,20,Paramedico
15,35,Paramedico
137,22,Tripulante de Cabina
42,32,Paramedico
100,40,Paramedico
139,46,Tripulante de Cabina
64,30,Paramedico
42,9,Copiloto
0,47,Paramedico
97,39,Tripulante de Cabina
137,2,Tripulante de Cabina
69,16,Tripulante de Cabina
29,33,Tripulante de Cabina
38,22,Tripulante de Cabina
63,24,Copiloto
10,19,Tripulante de Cabina
62,11,Tripulante de Cabina
19,0,Copiloto
29,2,Tripulante de Cabina
127,43,Paramedico
19,27,Paramedico
91,14,Tripulante de Cabina
58,19,Tripulante de Cabina
81,56,Tripulante de Cabina
123,59,Copiloto
140,4,Tripulante de Cabina
108,5,Tripulante de Cabina
4,2,Tripulante de Cabina
56,12,Tripulante de Cabina
55,30,Paramedico
16,50,Paramedico
8,13,Tripulante de Cabina
124,56,Tripulante de Cabina
100,11,Tripulante de Cabina
91,37,Copiloto
68,18,Tripulante de Cabina
128,53,Paramedico
