id,codigo,id_reservante
2271,XLE5111-2271,73
3147,KEA7139-3147,19
2616,XLE7933-2616,35
4926,LAM9574-4926,82
4177,LAM9574-4177,42
1927,LAW6318-1927,50
2193,UCA4751-2193,31
3287,MPH1782-3287,81
1251,LRC4743-1251,85
1288,KEA7139-1288,85
4646,NCY5615-4646,62
1113,LAW6351-1113,51
4771,IBE8751-4771,71
1436,ETA6742-1436,39
25,COG3144-0025,51
945,LAW1134-0945,20
623,LUD7177-0623,30
2414,ADC8249-2414,60
21,LAW1134-0021,87
1907,XLE7933-1907,6
4981,KAI7891-4981,49
2440,ETA6742-2440,65
4726,ETA6742-4726,10
4137,ADC6283-4137,7
3836,ETA7128-3836,3
4404,QAF6392-4404,58
4427,UCA4751-4427,25
222,UCA4751-0222,34
1678,ADC6283-1678,33
613,ADC8249-0613,64
3003,LAM9554-3003,6
1542,EAL7933-1542,45
403,COG7539-0403,34
2890,IBE2338-2890,22
255,LAM9554-0255,71
4800,ADC6283-4800,90
4758,NCY1133-4758,19
2625,LAW1134-2625,33
1430,MPH1782-1430,64
4004,EAL7933-4004,35
2281,KAI3589-2281,23
743,QAF4466-0743,68
3293,ADC8249-3293,68
1361,KAI3589-1361,18
3471,KAI7891-3471,23
3237,EAL8271-3237,57
3059,COG7539-3059,80
1975,COG3144-1975,36
2597,KAI7891-2597,20
1165,UCA4751-1165,67
3591,LAT5532-3591,18
2497,EAL7933-2497,58
1405,NCY5615-1405,13
2448,LUD7177-2448,20
4372,IBE2338-4372,44
3543,LAW6318-3543,66
181,BTA9626-0181,55
1155,QAF6392-1155,48
