id_ruta,indice,nombre,posicion
29,1,MUNER,"(-52.0, -71.31)"
29,2,URIDA,"(-43.275278, -72.670556)"
29,3,VUDAP,"(-23.143889, -68.805)"
30,1,EDSUK,"(-31.416667, -90.0)"
30,2,TESEX,"(-38.931111, -71.433611)"
30,3,OPURA,"(-45.268611, -71.955)"
30,4,ANGAT,"(-23.151944, -68.553056)"
32,1,EDSUK,"(-31.416667, -90.0)"
32,2,MUNER,"(-52.0, -71.31)"
32,3,EL138,"(-33.401844, -70.642517)"
32,4,GUVOL,"(-32.375, -70.225)"
35,1,MUBIL,"(-38.915556, -72.252222)"
35,2,SOTKU,"(-21.866667, -68.0625)"
35,3,BAL,"(-45.913056, -71.7125)"
35,4,ARMOS,"(-24.291667, -67.979167)"
36,1,EL138,"(-33.401844, -70.642517)"
36,2,SIROV,"(-34.584722, -70.622778)"
36,3,REKET,"(-44.098889, -72.380833)"
36,4,GUVOL,"(-32.375, -70.225)"
39,1,VUDAP,"(-23.143889, -68.805)"
39,2,ANGAT,"(-23.151944, -68.553056)"
40,1,EDSUK,"(-31.416667, -90.0)"
40,2,MUKSO,"(-43.280278, -72.974444)"
40,3,SOTKU,"(-21.866667, -68.0625)"
40,4,GUVOL,"(-32.375, -70.225)"
41,1,ANGAT,"(-23.151944, -68.553056)"
41,2,SASTI,"(-42.591944, -73.228333)"
42,1,EL138,"(-33.401844, -70.642517)"
42,2,GE025,"(-37.353156, -72.419825)"
42,3,TESEX,"(-38.931111, -71.433611)"
42,4,REKET,"(-44.098889, -72.380833)"
43,1,EDSUK,"(-31.416667, -90.0)"
43,2,MUNER,"(-52.0, -71.31)"
43,3,URIDA,"(-43.275278, -72.670556)"
43,4,MUKSO,"(-43.280278, -72.974444)"
45,1,EL138,"(-33.401844, -70.642517)"
45,2,GUVOL,"(-32.375, -70.225)"
46,1,EDSUK,"(-31.416667, -90.0)"
46,2,MUBIL,"(-38.915556, -72.252222)"
47,1,MUBIL,"(-38.915556, -72.252222)"
47,2,ARMOS,"(-24.291667, -67.979167)"
47,3,SASTI,"(-42.591944, -73.228333)"
48,1,EDSUK,"(-31.416667, -90.0)"
48,2,SIROV,"(-34.584722, -70.622778)"
49,1,EDSUK,"(-31.416667, -90.0)"
49,2,EL138,"(-33.401844, -70.642517)"
49,3,OPURA,"(-45.268611, -71.955)"
49,4,MUKSO,"(-43.280278, -72.974444)"
51,1,MUNER,"(-52.0, -71.31)"
51,2,SOTKU,"(-21.866667, -68.0625)"
51,3,ARMOS,"(-24.291667, -67.979167)"
51,4,SASTI,"(-42.591944, -73.228333)"
52,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
52,2,OPURA,"(-45.268611, -71.955)"
52,3,REKET,"(-44.098889, -72.380833)"
53,1,MUNER,"(-52.0, -71.31)"
53,2,URIDA,"(-43.275278, -72.670556)"
60,1,OPURA,"(-45.268611, -71.955)"
60,2,VUDAP,"(-23.143889, -68.805)"
62,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
62,2,EDSUK,"(-31.416667, -90.0)"
62,3,MUNER,"(-52.0, -71.31)"
62,4,SIROV,"(-34.584722, -70.622778)"
64,1,GE025,"(-37.353156, -72.419825)"
64,2,MUBIL,"(-38.915556, -72.252222)"
64,3,BAL,"(-45.913056, -71.7125)"
66,1,MUNER,"(-52.0, -71.31)"
66,2,MUKSO,"(-43.280278, -72.974444)"
67,1,MUNER,"(-52.0, -71.31)"
67,2,EL138,"(-33.401844, -70.642517)"
67,3,VUDAP,"(-23.143889, -68.805)"
68,1,VUDAP,"(-23.143889, -68.805)"
68,2,BAL,"(-45.913056, -71.7125)"
69,1,EDSUK,"(-31.416667, -90.0)"
69,2,URIDA,"(-43.275278, -72.670556)"
69,3,ANGAT,"(-23.151944, -68.553056)"
71,1,MUNER,"(-52.0, -71.31)"
71,2,GE025,"(-37.353156, -72.419825)"
71,3,MUBIL,"(-38.915556, -72.252222)"
71,4,TESEX,"(-38.931111, -71.433611)"
71,5,SIROV,"(-34.584722, -70.622778)"
71,6,ARMOS,"(-24.291667, -67.979167)"
72,1,URIDA,"(-43.275278, -72.670556)"
72,2,SOTKU,"(-21.866667, -68.0625)"
72,3,ANGAT,"(-23.151944, -68.553056)"
72,4,ARMOS,"(-24.291667, -67.979167)"
72,5,GUVOL,"(-32.375, -70.225)"
74,1,SOTKU,"(-21.866667, -68.0625)"
74,2,REKET,"(-44.098889, -72.380833)"
74,3,SASTI,"(-42.591944, -73.228333)"
75,1,ASALA,"(-27.675556, -108.439444)"
75,2,TESEX,"(-38.931111, -71.433611)"
78,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
78,2,EDSUK,"(-31.416667, -90.0)"
79,1,ASALA,"(-27.675556, -108.439444)"
79,2,ARMOS,"(-24.291667, -67.979167)"
79,3,SASTI,"(-42.591944, -73.228333)"
80,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
80,2,OPURA,"(-45.268611, -71.955)"
80,3,SIROV,"(-34.584722, -70.622778)"
82,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
82,2,EL138,"(-33.401844, -70.642517)"
82,3,SIROV,"(-34.584722, -70.622778)"
82,4,SASTI,"(-42.591944, -73.228333)"
84,1,ASALA,"(-27.675556, -108.439444)"
84,2,MUKSO,"(-43.280278, -72.974444)"
86,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
86,2,EL138,"(-33.401844, -70.642517)"
86,3,GE025,"(-37.353156, -72.419825)"
86,4,VUDAP,"(-23.143889, -68.805)"
87,1,VUDAP,"(-23.143889, -68.805)"
87,2,SOTKU,"(-21.866667, -68.0625)"
88,1,VUDAP,"(-23.143889, -68.805)"
88,2,ANGAT,"(-23.151944, -68.553056)"
88,3,GUVOL,"(-32.375, -70.225)"
89,1,ASALA,"(-27.675556, -108.439444)"
89,2,EDSUK,"(-31.416667, -90.0)"
89,3,MUNER,"(-52.0, -71.31)"
89,4,SIROV,"(-34.584722, -70.622778)"
89,5,ANGAT,"(-23.151944, -68.553056)"
90,1,GE025,"(-37.353156, -72.419825)"
90,2,MUKSO,"(-43.280278, -72.974444)"
90,3,ANGAT,"(-23.151944, -68.553056)"
92,1,MUKSO,"(-43.280278, -72.974444)"
92,2,BAL,"(-45.913056, -71.7125)"
93,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
93,2,MUNER,"(-52.0, -71.31)"
94,1,MUBIL,"(-38.915556, -72.252222)"
94,2,REKET,"(-44.098889, -72.380833)"
95,1,MUNER,"(-52.0, -71.31)"
95,2,TESEX,"(-38.931111, -71.433611)"
95,3,OPURA,"(-45.268611, -71.955)"
99,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
99,2,EL138,"(-33.401844, -70.642517)"
99,3,SIROV,"(-34.584722, -70.622778)"
100,1,GE025,"(-37.353156, -72.419825)"
100,2,TESEX,"(-38.931111, -71.433611)"
100,3,SIROV,"(-34.584722, -70.622778)"
100,4,MUKSO,"(-43.280278, -72.974444)"
100,5,ARMOS,"(-24.291667, -67.979167)"
100,6,SASTI,"(-42.591944, -73.228333)"
102,1,EL138,"(-33.401844, -70.642517)"
102,2,GE025,"(-37.353156, -72.419825)"
102,3,BAL,"(-45.913056, -71.7125)"
103,1,MUKSO,"(-43.280278, -72.974444)"
103,2,GUVOL,"(-32.375, -70.225)"
104,1,EL138,"(-33.401844, -70.642517)"
104,2,VUDAP,"(-23.143889, -68.805)"
104,3,REKET,"(-44.098889, -72.380833)"
105,1,ASALA,"(-27.675556, -108.439444)"
105,2,GE025,"(-37.353156, -72.419825)"
105,3,VUDAP,"(-23.143889, -68.805)"
105,4,SOTKU,"(-21.866667, -68.0625)"
106,1,SIROV,"(-34.584722, -70.622778)"
106,2,VUDAP,"(-23.143889, -68.805)"
106,3,GUVOL,"(-32.375, -70.225)"
107,1,VUDAP,"(-23.143889, -68.805)"
107,2,REKET,"(-44.098889, -72.380833)"
107,3,BAL,"(-45.913056, -71.7125)"
107,4,ARMOS,"(-24.291667, -67.979167)"
108,1,URIDA,"(-43.275278, -72.670556)"
108,2,GUVOL,"(-32.375, -70.225)"
110,1,EL138,"(-33.401844, -70.642517)"
110,2,URIDA,"(-43.275278, -72.670556)"
110,3,MUBIL,"(-38.915556, -72.252222)"
110,4,GUVOL,"(-32.375, -70.225)"
111,1,TESEX,"(-38.931111, -71.433611)"
111,2,SOTKU,"(-21.866667, -68.0625)"
113,1,ASALA,"(-27.675556, -108.439444)"
113,2,IVDM,"(-32.9441666666667, -71.4702777777778)"
113,3,MUBIL,"(-38.915556, -72.252222)"
113,4,ANGAT,"(-23.151944, -68.553056)"
113,5,BAL,"(-45.913056, -71.7125)"
114,1,URIDA,"(-43.275278, -72.670556)"
114,2,VUDAP,"(-23.143889, -68.805)"
115,1,MUNER,"(-52.0, -71.31)"
115,2,EL138,"(-33.401844, -70.642517)"
115,3,URIDA,"(-43.275278, -72.670556)"
115,4,VUDAP,"(-23.143889, -68.805)"
115,5,ARMOS,"(-24.291667, -67.979167)"
115,6,SASTI,"(-42.591944, -73.228333)"
118,1,EL138,"(-33.401844, -70.642517)"
118,2,SIROV,"(-34.584722, -70.622778)"
118,3,SASTI,"(-42.591944, -73.228333)"
119,1,ASALA,"(-27.675556, -108.439444)"
119,2,IVDM,"(-32.9441666666667, -71.4702777777778)"
119,3,SIROV,"(-34.584722, -70.622778)"
119,4,MUKSO,"(-43.280278, -72.974444)"
119,5,VUDAP,"(-23.143889, -68.805)"
119,6,ARMOS,"(-24.291667, -67.979167)"
121,1,SOTKU,"(-21.866667, -68.0625)"
121,2,REKET,"(-44.098889, -72.380833)"
122,1,EL138,"(-33.401844, -70.642517)"
122,2,GE025,"(-37.353156, -72.419825)"
123,1,ASALA,"(-27.675556, -108.439444)"
123,2,GE025,"(-37.353156, -72.419825)"
125,1,BAL,"(-45.913056, -71.7125)"
125,2,ARMOS,"(-24.291667, -67.979167)"
126,1,OPURA,"(-45.268611, -71.955)"
126,2,SIROV,"(-34.584722, -70.622778)"
126,3,MUKSO,"(-43.280278, -72.974444)"
126,4,SASTI,"(-42.591944, -73.228333)"
128,1,EL138,"(-33.401844, -70.642517)"
128,2,MUBIL,"(-38.915556, -72.252222)"
128,3,OPURA,"(-45.268611, -71.955)"
130,1,REKET,"(-44.098889, -72.380833)"
130,2,ARMOS,"(-24.291667, -67.979167)"
130,3,GUVOL,"(-32.375, -70.225)"
131,1,URIDA,"(-43.275278, -72.670556)"
131,2,OPURA,"(-45.268611, -71.955)"
131,3,ANGAT,"(-23.151944, -68.553056)"
132,1,ASALA,"(-27.675556, -108.439444)"
132,2,VUDAP,"(-23.143889, -68.805)"
132,3,BAL,"(-45.913056, -71.7125)"
132,4,ARMOS,"(-24.291667, -67.979167)"
132,5,SASTI,"(-42.591944, -73.228333)"
133,1,GE025,"(-37.353156, -72.419825)"
133,2,TESEX,"(-38.931111, -71.433611)"
133,3,REKET,"(-44.098889, -72.380833)"
133,4,ANGAT,"(-23.151944, -68.553056)"
134,1,ASALA,"(-27.675556, -108.439444)"
134,2,OPURA,"(-45.268611, -71.955)"
135,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
135,2,MUKSO,"(-43.280278, -72.974444)"
135,3,VUDAP,"(-23.143889, -68.805)"
137,1,ASALA,"(-27.675556, -108.439444)"
137,2,IVDM,"(-32.9441666666667, -71.4702777777778)"
137,3,MUNER,"(-52.0, -71.31)"
137,4,GE025,"(-37.353156, -72.419825)"
137,5,URIDA,"(-43.275278, -72.670556)"
137,6,VUDAP,"(-23.143889, -68.805)"
138,1,ASALA,"(-27.675556, -108.439444)"
138,2,SIROV,"(-34.584722, -70.622778)"
141,1,ASALA,"(-27.675556, -108.439444)"
141,2,EL138,"(-33.401844, -70.642517)"
141,3,ARMOS,"(-24.291667, -67.979167)"
141,4,GUVOL,"(-32.375, -70.225)"
142,1,ASALA,"(-27.675556, -108.439444)"
142,2,GE025,"(-37.353156, -72.419825)"
142,3,MUKSO,"(-43.280278, -72.974444)"
143,1,EDSUK,"(-31.416667, -90.0)"
143,2,GE025,"(-37.353156, -72.419825)"
143,3,REKET,"(-44.098889, -72.380833)"
147,1,EDSUK,"(-31.416667, -90.0)"
147,2,BAL,"(-45.913056, -71.7125)"
147,3,SASTI,"(-42.591944, -73.228333)"
148,1,SOTKU,"(-21.866667, -68.0625)"
148,2,BAL,"(-45.913056, -71.7125)"
149,1,MUNER,"(-52.0, -71.31)"
149,2,URIDA,"(-43.275278, -72.670556)"
149,3,MUKSO,"(-43.280278, -72.974444)"
151,1,ASALA,"(-27.675556, -108.439444)"
151,2,URIDA,"(-43.275278, -72.670556)"
151,3,MUBIL,"(-38.915556, -72.252222)"
151,4,OPURA,"(-45.268611, -71.955)"
151,5,ANGAT,"(-23.151944, -68.553056)"
152,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
152,2,MUKSO,"(-43.280278, -72.974444)"
152,3,SASTI,"(-42.591944, -73.228333)"
152,4,GUVOL,"(-32.375, -70.225)"
153,1,URIDA,"(-43.275278, -72.670556)"
153,2,MUKSO,"(-43.280278, -72.974444)"
156,1,EL138,"(-33.401844, -70.642517)"
156,2,TESEX,"(-38.931111, -71.433611)"
156,3,ANGAT,"(-23.151944, -68.553056)"
157,1,OPURA,"(-45.268611, -71.955)"
157,2,SIROV,"(-34.584722, -70.622778)"
157,3,ARMOS,"(-24.291667, -67.979167)"
159,1,MUNER,"(-52.0, -71.31)"
159,2,OPURA,"(-45.268611, -71.955)"
159,3,MUKSO,"(-43.280278, -72.974444)"
159,4,SOTKU,"(-21.866667, -68.0625)"
159,5,GUVOL,"(-32.375, -70.225)"
160,1,SIROV,"(-34.584722, -70.622778)"
160,2,SOTKU,"(-21.866667, -68.0625)"
160,3,SASTI,"(-42.591944, -73.228333)"
161,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
161,2,SASTI,"(-42.591944, -73.228333)"
162,1,ARMOS,"(-24.291667, -67.979167)"
162,2,SASTI,"(-42.591944, -73.228333)"
163,1,EDSUK,"(-31.416667, -90.0)"
163,2,SOTKU,"(-21.866667, -68.0625)"
166,1,GE025,"(-37.353156, -72.419825)"
166,2,SASTI,"(-42.591944, -73.228333)"
168,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
168,2,URIDA,"(-43.275278, -72.670556)"
168,3,MUBIL,"(-38.915556, -72.252222)"
168,4,GUVOL,"(-32.375, -70.225)"
170,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
170,2,GE025,"(-37.353156, -72.419825)"
170,3,MUBIL,"(-38.915556, -72.252222)"
170,4,TESEX,"(-38.931111, -71.433611)"
171,1,EDSUK,"(-31.416667, -90.0)"
171,2,URIDA,"(-43.275278, -72.670556)"
172,1,URIDA,"(-43.275278, -72.670556)"
172,2,SOTKU,"(-21.866667, -68.0625)"
173,1,REKET,"(-44.098889, -72.380833)"
173,2,GUVOL,"(-32.375, -70.225)"
176,1,OPURA,"(-45.268611, -71.955)"
176,2,BAL,"(-45.913056, -71.7125)"
176,3,ARMOS,"(-24.291667, -67.979167)"
176,4,SASTI,"(-42.591944, -73.228333)"
176,5,GUVOL,"(-32.375, -70.225)"
177,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
177,2,MUNER,"(-52.0, -71.31)"
177,3,MUBIL,"(-38.915556, -72.252222)"
177,4,GUVOL,"(-32.375, -70.225)"
179,1,EDSUK,"(-31.416667, -90.0)"
179,2,TESEX,"(-38.931111, -71.433611)"
179,3,MUKSO,"(-43.280278, -72.974444)"
179,4,SASTI,"(-42.591944, -73.228333)"
181,1,OPURA,"(-45.268611, -71.955)"
181,2,REKET,"(-44.098889, -72.380833)"
184,1,URIDA,"(-43.275278, -72.670556)"
184,2,MUKSO,"(-43.280278, -72.974444)"
184,3,REKET,"(-44.098889, -72.380833)"
186,1,REKET,"(-44.098889, -72.380833)"
186,2,BAL,"(-45.913056, -71.7125)"
188,1,MUNER,"(-52.0, -71.31)"
188,2,MUBIL,"(-38.915556, -72.252222)"
191,1,TESEX,"(-38.931111, -71.433611)"
191,2,SIROV,"(-34.584722, -70.622778)"
191,3,REKET,"(-44.098889, -72.380833)"
191,4,SASTI,"(-42.591944, -73.228333)"
194,1,ASALA,"(-27.675556, -108.439444)"
194,2,URIDA,"(-43.275278, -72.670556)"
194,3,MUBIL,"(-38.915556, -72.252222)"
194,4,OPURA,"(-45.268611, -71.955)"
196,1,ASALA,"(-27.675556, -108.439444)"
196,2,OPURA,"(-45.268611, -71.955)"
196,3,SIROV,"(-34.584722, -70.622778)"
196,4,REKET,"(-44.098889, -72.380833)"
199,1,MUNER,"(-52.0, -71.31)"
199,2,ANGAT,"(-23.151944, -68.553056)"
199,3,SASTI,"(-42.591944, -73.228333)"
199,4,GUVOL,"(-32.375, -70.225)"
201,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
201,2,EDSUK,"(-31.416667, -90.0)"
201,3,URIDA,"(-43.275278, -72.670556)"
201,4,SASTI,"(-42.591944, -73.228333)"
202,1,BAL,"(-45.913056, -71.7125)"
202,2,SASTI,"(-42.591944, -73.228333)"
204,1,ASALA,"(-27.675556, -108.439444)"
204,2,SOTKU,"(-21.866667, -68.0625)"
207,1,URIDA,"(-43.275278, -72.670556)"
207,2,ARMOS,"(-24.291667, -67.979167)"
208,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
208,2,EL138,"(-33.401844, -70.642517)"
208,3,ARMOS,"(-24.291667, -67.979167)"
209,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
209,2,BAL,"(-45.913056, -71.7125)"
210,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
210,2,URIDA,"(-43.275278, -72.670556)"
210,3,VUDAP,"(-23.143889, -68.805)"
210,4,SOTKU,"(-21.866667, -68.0625)"
210,5,REKET,"(-44.098889, -72.380833)"
210,6,ANGAT,"(-23.151944, -68.553056)"
211,1,URIDA,"(-43.275278, -72.670556)"
211,2,REKET,"(-44.098889, -72.380833)"
211,3,SASTI,"(-42.591944, -73.228333)"
213,1,EDSUK,"(-31.416667, -90.0)"
213,2,SASTI,"(-42.591944, -73.228333)"
214,1,EL138,"(-33.401844, -70.642517)"
214,2,GE025,"(-37.353156, -72.419825)"
214,3,ARMOS,"(-24.291667, -67.979167)"
215,1,MUBIL,"(-38.915556, -72.252222)"
215,2,MUKSO,"(-43.280278, -72.974444)"
218,1,MUNER,"(-52.0, -71.31)"
218,2,URIDA,"(-43.275278, -72.670556)"
218,3,TESEX,"(-38.931111, -71.433611)"
218,4,REKET,"(-44.098889, -72.380833)"
220,1,EDSUK,"(-31.416667, -90.0)"
220,2,OPURA,"(-45.268611, -71.955)"
220,3,GUVOL,"(-32.375, -70.225)"
221,1,ASALA,"(-27.675556, -108.439444)"
221,2,SIROV,"(-34.584722, -70.622778)"
221,3,SASTI,"(-42.591944, -73.228333)"
223,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
223,2,OPURA,"(-45.268611, -71.955)"
223,3,VUDAP,"(-23.143889, -68.805)"
223,4,SASTI,"(-42.591944, -73.228333)"
224,1,URIDA,"(-43.275278, -72.670556)"
224,2,SIROV,"(-34.584722, -70.622778)"
224,3,SOTKU,"(-21.866667, -68.0625)"
225,1,SIROV,"(-34.584722, -70.622778)"
225,2,ANGAT,"(-23.151944, -68.553056)"
225,3,SASTI,"(-42.591944, -73.228333)"
226,1,MUNER,"(-52.0, -71.31)"
226,2,URIDA,"(-43.275278, -72.670556)"
226,3,OPURA,"(-45.268611, -71.955)"
227,1,OPURA,"(-45.268611, -71.955)"
227,2,ANGAT,"(-23.151944, -68.553056)"
228,1,URIDA,"(-43.275278, -72.670556)"
228,2,MUBIL,"(-38.915556, -72.252222)"
228,3,ARMOS,"(-24.291667, -67.979167)"
229,1,IVDM,"(-32.9441666666667, -71.4702777777778)"
229,2,GE025,"(-37.353156, -72.419825)"
230,1,ASALA,"(-27.675556, -108.439444)"
230,2,REKET,"(-44.098889, -72.380833)"
232,1,MUNER,"(-52.0, -71.31)"
232,2,TESEX,"(-38.931111, -71.433611)"
232,3,REKET,"(-44.098889, -72.380833)"
232,4,ANGAT,"(-23.151944, -68.553056)"
233,1,EL138,"(-33.401844, -70.642517)"
233,2,SOTKU,"(-21.866667, -68.0625)"
233,3,SASTI,"(-42.591944, -73.228333)"
234,1,SIROV,"(-34.584722, -70.622778)"
234,2,MUKSO,"(-43.280278, -72.974444)"
235,1,GE025,"(-37.353156, -72.419825)"
235,2,MUKSO,"(-43.280278, -72.974444)"
237,1,OPURA,"(-45.268611, -71.955)"
237,2,SOTKU,"(-21.866667, -68.0625)"
237,3,REKET,"(-44.098889, -72.380833)"
237,4,BAL,"(-45.913056, -71.7125)"
238,1,MUNER,"(-52.0, -71.31)"
238,2,TESEX,"(-38.931111, -71.433611)"
238,3,GUVOL,"(-32.375, -70.225)"
239,1,EDSUK,"(-31.416667, -90.0)"
239,2,SOTKU,"(-21.866667, -68.0625)"
239,3,SASTI,"(-42.591944, -73.228333)"
240,1,EDSUK,"(-31.416667, -90.0)"
240,2,SIROV,"(-34.584722, -70.622778)"
240,3,SOTKU,"(-21.866667, -68.0625)"
240,4,ARMOS,"(-24.291667, -67.979167)"
242,1,MUBIL,"(-38.915556, -72.252222)"
242,2,REKET,"(-44.098889, -72.380833)"
242,3,ANGAT,"(-23.151944, -68.553056)"
242,4,SASTI,"(-42.591944, -73.228333)"
243,1,EL138,"(-33.401844, -70.642517)"
243,2,ANGAT,"(-23.151944, -68.553056)"
243,3,GUVOL,"(-32.375, -70.225)"
245,1,ASALA,"(-27.675556, -108.439444)"
245,2,MUBIL,"(-38.915556, -72.252222)"
245,3,SIROV,"(-34.584722, -70.622778)"
245,4,ANGAT,"(-23.151944, -68.553056)"
246,1,EL138,"(-33.401844, -70.642517)"
246,2,URIDA,"(-43.275278, -72.670556)"
246,3,OPURA,"(-45.268611, -71.955)"
249,1,ASALA,"(-27.675556, -108.439444)"
249,2,REKET,"(-44.098889, -72.380833)"
249,3,BAL,"(-45.913056, -71.7125)"
249,4,ARMOS,"(-24.291667, -67.979167)"
257,1,EL138,"(-33.401844, -70.642517)"
257,2,SIROV,"(-34.584722, -70.622778)"
257,3,BAL,"(-45.913056, -71.7125)"
258,1,EL138,"(-33.401844, -70.642517)"
258,2,SASTI,"(-42.591944, -73.228333)"
261,1,MUNER,"(-52.0, -71.31)"
261,2,EL138,"(-33.401844, -70.642517)"
263,1,MUNER,"(-52.0, -71.31)"
263,2,REKET,"(-44.098889, -72.380833)"
264,1,MUNER,"(-52.0, -71.31)"
264,2,REKET,"(-44.098889, -72.380833)"
264,3,ANGAT,"(-23.151944, -68.553056)"
264,4,ARMOS,"(-24.291667, -67.979167)"
268,1,SIROV,"(-34.584722, -70.622778)"
268,2,ANGAT,"(-23.151944, -68.553056)"
269,1,ASALA,"(-27.675556, -108.439444)"
269,2,URIDA,"(-43.275278, -72.670556)"
269,3,TESEX,"(-38.931111, -71.433611)"
269,4,OPURA,"(-45.268611, -71.955)"
269,5,MUKSO,"(-43.280278, -72.974444)"
270,1,EL138,"(-33.401844, -70.642517)"
270,2,MUBIL,"(-38.915556, -72.252222)"
270,3,SIROV,"(-34.584722, -70.622778)"
270,4,ANGAT,"(-23.151944, -68.553056)"
271,1,ASALA,"(-27.675556, -108.439444)"
271,2,IVDM,"(-32.9441666666667, -71.4702777777778)"
271,3,MUNER,"(-52.0, -71.31)"
271,4,GE025,"(-37.353156, -72.419825)"
271,5,BAL,"(-45.913056, -71.7125)"
274,1,TESEX,"(-38.931111, -71.433611)"
274,2,VUDAP,"(-23.143889, -68.805)"
274,3,REKET,"(-44.098889, -72.380833)"
275,1,ASALA,"(-27.675556, -108.439444)"
275,2,IVDM,"(-32.9441666666667, -71.4702777777778)"
275,3,SIROV,"(-34.584722, -70.622778)"
275,4,ARMOS,"(-24.291667, -67.979167)"
277,1,REKET,"(-44.098889, -72.380833)"
277,2,SASTI,"(-42.591944, -73.228333)"
281,1,MUNER,"(-52.0, -71.31)"
281,2,VUDAP,"(-23.143889, -68.805)"
282,1,MUNER,"(-52.0, -71.31)"
282,2,EL138,"(-33.401844, -70.642517)"
282,3,OPURA,"(-45.268611, -71.955)"
283,1,ASALA,"(-27.675556, -108.439444)"
283,2,REKET,"(-44.098889, -72.380833)"
283,3,BAL,"(-45.913056, -71.7125)"
284,1,EDSUK,"(-31.416667, -90.0)"
284,2,URIDA,"(-43.275278, -72.670556)"
284,3,TESEX,"(-38.931111, -71.433611)"
284,4,OPURA,"(-45.268611, -71.955)"
286,1,EDSUK,"(-31.416667, -90.0)"
286,2,GE025,"(-37.353156, -72.419825)"
